"Időbélyeg","1. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","2. Az első hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","3. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","4. A második hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","5. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","6. A harmadik hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","7. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","8. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","9. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","10. Hogyan értékelnéd saját régiód nyelvváltozatát – nyelvjárását?","11. Mely helyzetekben használod a saját nyelvváltozatodat – nyelvjárásodat? (Több választ is megjelölhetsz!)","12. Véleményed szerint te ismered a saját régiód nyelvjárását?","13. Szerinted előny vagy hátrány a nyelvjárás ismerete?","14. Mely helyzetekben használsz köznyelvi változatot? (Több választ is megjelölhetsz!)","15. Véleményed szerint beszéled a magyarországi magyar köznyelvet?","16. Szerinted van különbség a Magyarországon és a Szlovákiában használt magyar nyelv között?","17. Tett-e már valaki megjegyzést arra, ahogyan beszéltél?","18. Amennyiben tett már valaki megjegyzést a beszédedre, milyen helyzetben történt? Mit kifogásoltak? ","19. Mi a nemed?","20. Mi a nemzetiséged?","21. Mi az anyanyelved?","22. Melyik településen élsz?","23. Milyen típusú iskola diákja vagy?","24. Hányadik osztályba jársz?","25. Milyen nyelven zajlik az oktatás az általad látogatott képzésen?","26. Iskola","27. Iskola régiója","28. Lakhely régiója"
"2022/06/25 3:14:17 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","nem","teljesen elfogadható","nem","teljesen elfogadható","inkább elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;szlovákiai magyarokkal","szerintem elég jól","előny","iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","igen","Tetszett nekik","lány","magyar","magyar","Nagykövesd","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:16:54 du. CET","nem tudom megítélni","igen","inkább elfogadható","hasonlít","teljesen elfogadható","igen","inkább elfogadható","inkább nem elfogadható","inkább elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","A szóhasználatot, közösségben beszélgettünk, és a kiejtést kritizálták.","fiú","magyar","magyar","Nagykapos","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:18:58 du. CET","nem tudom megítélni","nem","inkább elfogadható","nem","teljesen elfogadható","hasonlít","teljesen elfogadható","nem tudom megítélni","inkább nem elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal","szerintem elég jól","igen","igen","Többször visszakérdeztek, mert nem értették, amit mondok.","lány","magyar","magyar","Kisgéres","gimnázium","1.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:20:31 du. CET","nem tudom megítélni","nem","inkább elfogadható","hasonlít","teljesen elfogadható","igen","nem tudom megítélni","inkább elfogadható","teljesen elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;e-mailben, SMS-ben, chaten","igen","előny","magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben","igen","igen","nem","","lány","magyar","magyar","Királyhelmec","gimnázium","1.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:22:14 du. CET","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","inkább elfogadható","nem","inkább nem elfogadható","nem tudom megítélni","inkább elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","előny","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","talán egy kicsit","nem tudom","igen","","lány","magyar","magyar","Lelesz - Kaponya","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:23:52 du. CET","nem tudom megítélni","nem","inkább elfogadható","nem tudom","inkább elfogadható","hasonlít","teljesen elfogadható","nem tudom megítélni","inkább elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","igen","Nem tettek megjegyzést","fiú","magyar","magyar","Kistárkány","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:25:19 du. CET","inkább elfogadható","hasonlít","inkább elfogadható","nem","nem tudom megítélni","nem tudom","teljesen elfogadható","nem tudom megítélni","nem tudom megítélni","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;magyarországi magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;magyarországi magyarokkal","inkább nem","nem","nem","","lány","magyar","magyar","Nagykövesd","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:26:43 du. CET","inkább elfogadható","hasonlít","inkább nem elfogadható","nem","inkább elfogadható","nem","inkább elfogadható","inkább nem elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","igen","igen","nem","","fiú","magyar","magyar","Boly","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:28:04 du. CET","inkább elfogadható","nem tudom","inkább elfogadható","hasonlít","inkább elfogadható","nem tudom","teljesen elfogadható","inkább elfogadható","inkább elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;szlovákiai magyarokkal","talán egy kicsit","nem tudom","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","talán egy kicsit","igen","nem","","lány","magyar","magyar","Bély","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:30:03 du. CET","inkább elfogadható","hasonlít","inkább elfogadható","nem tudom","nem tudom megítélni","nem tudom","teljesen elfogadható","inkább elfogadható","inkább elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","igen","igen","hogy van akcentusom","lány","magyar","magyar","Nagykövesd","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:31:19 du. CET","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","inkább elfogadható","inkább elfogadható","inkább elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;e-mailben, SMS-ben, chaten","szerintem elég jól","nem tudom","iskolában az órákon;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","igen","nem tudom","nem","","lány","magyar","magyar","Dobra","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:32:54 du. CET","teljesen elfogadható","hasonlít","inkább elfogadható","nem tudom","inkább elfogadható","hasonlít","teljesen elfogadható","inkább elfogadható","inkább elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","igen","nem","","lány","magyar","magyar","Kisgéres","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:34:36 du. CET","nem tudom megítélni","hasonlít","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","teljesen elfogadható","nem tudom megítélni","inkább elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","igen","előny","családi beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","igen","Káromkodás, nem érteni semmit.","fiú","magyar","magyar","Szentes","gimnázium","2.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:36:24 du. CET","teljesen elfogadható","igen","nem tudom megítélni","hasonlít","inkább elfogadható","hasonlít","teljesen elfogadható","inkább elfogadható","teljesen elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","igen","előny","magyarországi magyarokkal","szerintem elég jól","igen","nem","","fiú","magyar","magyar","Királyhelmec","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:38:32 du. CET","nem tudom megítélni","hasonlít","teljesen elfogadható","nem","inkább elfogadható","igen","inkább elfogadható","nem tudom megítélni","inkább elfogadható","semleges","baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","talán egy kicsit","előny","baráti beszélgetésben;iskolában az órákon;szlovákiai magyarokkal","szerintem elég jól","igen","igen","Csúnyán beszélek. Sok a káromkodás.","fiú","magyar","magyar","Perbenyik","gimnázium","3.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:41:33 du. CET","inkább elfogadható","hasonlít","teljesen elfogadható","hasonlít","teljesen elfogadható","igen","inkább elfogadható","nem tudom megítélni","teljesen elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","igen","előny","családi beszélgetésben;baráti beszélgetésben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","igen","Kiejtés","lány","magyar","magyar","Véke","gimnázium","2.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:43:05 du. CET","inkább elfogadható","nem","inkább elfogadható","igen","nem tudom megítélni","hasonlít","teljesen elfogadható","nem tudom megítélni","inkább elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","nem","","lány","magyar","magyar","Királyhelmecen","gimnázium","1.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:44:53 du. CET","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","inkább elfogadható","nem","teljesen elfogadható","inkább nem elfogadható","nem tudom megítélni","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","szerintem elég jól","nem tudom","iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","szerintem elég jól","igen","igen","A nyelvjárást, hallani amikor beszélek. Nem tudom mindig megfelelően kifejezni magam.","lány","magyar","magyar","Kisgéres","gimnázium","2.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:46:29 du. CET","inkább elfogadható","nem","inkább nem elfogadható","nem","inkább elfogadható","nem","inkább elfogadható","inkább elfogadható","inkább elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;e-mailben, SMS-ben, chaten","igen","nem tudom","iskolában az órákon;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","nem","","fiú","magyar","magyar","Perbenyik","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:47:54 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","nem","teljesen elfogadható","nem","nem tudom megítélni","inkább nem elfogadható","nem tudom megítélni","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","igen","igen","nem","","lány","magyar","magyar","Szinyér","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:49:20 du. CET","inkább elfogadható","hasonlít","inkább elfogadható","nem","inkább elfogadható","nem","inkább elfogadható","nem tudom megítélni","nem tudom megítélni","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","igen","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","igen","nem","","fiú","magyar","magyar","Kisgéres","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:50:54 du. CET","teljesen elfogadható","hasonlít","teljesen elfogadható","nem","teljesen elfogadható","nem","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","semleges","semmilyen helyzetben","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","nem tudom","nem","","lány","magyar","magyar","Bodrogszentes","gimnázium","3.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:52:21 du. CET","teljesen elfogadható","nem","nem tudom megítélni","nem","inkább elfogadható","nem","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal","inkább nem","igen","nem","","fiú","magyar","magyar","Kistárkány","gimnázium","2.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 3:53:54 du. CET","teljesen elfogadható","nem","nem tudom megítélni","nem","teljesen elfogadható","nem","teljesen elfogadható","teljesen elfogadható","teljesen elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal","talán egy kicsit","igen","nem","","fiú","magyar","magyar","Királyhelmec","gimnázium","2.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:03:09 du. CET","nem tudom megítélni","hasonlít","nem tudom megítélni","nem","nem tudom megítélni","nem","inkább nem elfogadható","nem tudom megítélni","nem tudom megítélni","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","nem tudom","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","igen","igen","nem","","fiú","magyar","magyar","Királyhelmec","gimnázium","2.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:05:11 du. CET","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","teljesen elfogadható","inkább elfogadható","inkább nem elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","szerintem elég jól","előny","iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","igen","Boltban, baráti beszélgetések közben.","lány","magyar","magyar","Boly","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:06:29 du. CET","teljesen elfogadható","nem","inkább elfogadható","nem","inkább elfogadható","hasonlít","teljesen elfogadható","inkább nem elfogadható","inkább nem elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","szerintem elég jól","előny","iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","nem","","lány","magyar","magyar","Királyhelmec","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:07:56 du. CET","inkább elfogadható","nem","inkább elfogadható","hasonlít","inkább elfogadható","nem","inkább elfogadható","inkább nem elfogadható","inkább nem elfogadható","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","igen","igen","Szlovák szavak használata","fiú","magyar","magyar","Királyhelmec","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:09:10 du. CET","nem tudom megítélni","nem","inkább elfogadható","hasonlít","inkább elfogadható","nem","inkább elfogadható","nem tudom megítélni","teljesen elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;szlovákiai magyarokkal","igen","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","szerintem elég jól","igen","nem","","lány","magyar","magyar","Kisgéres","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:10:30 du. CET","nem tudom megítélni","nem","inkább elfogadható","hasonlít","inkább elfogadható","hasonlít","teljesen elfogadható","inkább elfogadható","nem tudom megítélni","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","nem tudom","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;levélben vagy fogalmazás írása közben","igen","igen","nem","","lány","magyar","magyar","Bodrogszentes","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:11:58 du. CET","nem tudom megítélni","nem tudom","nem tudom megítélni","hasonlít","nem tudom megítélni","nem tudom","inkább elfogadható","nem tudom megítélni","nem tudom megítélni","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","igen","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;szlovákiai magyarokkal","talán egy kicsit","igen","igen","","lány","magyar","magyar","Ladmóc","gimnázium","2.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:13:40 du. CET","inkább nem elfogadható","hasonlít","nem tudom megítélni","hasonlít","inkább elfogadható","hasonlít","inkább elfogadható","nem tudom megítélni","nem tudom megítélni","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","levélben vagy fogalmazás írása közben","szerintem elég jól","nem tudom","nem","Hangos, picit trágár beszéd","lány","magyar","magyar","Őrös","gimnázium","1.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:15:11 du. CET","nem tudom megítélni","nem tudom","nem tudom megítélni","nem","inkább elfogadható","hasonlít","inkább nem elfogadható","inkább nem elfogadható","inkább nem elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","igen","igen","nem","","lány","magyar","magyar","Királyhelmec","gimnázium","1.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:16:23 du. CET","nem tudom megítélni","nem","inkább elfogadható","hasonlít","inkább elfogadható","nem tudom","inkább elfogadható","inkább elfogadható","nem tudom megítélni","semleges","családi beszélgetésben;baráti beszélgetésben;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","talán egy kicsit","igen","nem","","lány","magyar","magyar","Királyhelmec","gimnázium","1.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:17:58 du. CET","inkább nem elfogadható","nem","inkább elfogadható","hasonlít","inkább elfogadható","nem","inkább elfogadható","inkább nem elfogadható","nem tudom megítélni","inkább tetszik","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;e-mailben, SMS-ben, chaten","szerintem elég jól","nem tudom","semmilyen helyzetben","szerintem elég jól","igen","igen","Ideges voltam, és nagyon csúnyán beszéltem.","lány","magyar","magyar","Zétény","gimnázium","1.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:19:47 du. CET","nem tudom megítélni","hasonlít","nem tudom megítélni","hasonlít","nem tudom megítélni","hasonlít","nem tudom megítélni","nem tudom megítélni","nem tudom megítélni","semleges","iskolában a szünetben","talán egy kicsit","előny","iskolában az órákon;szlovákiai magyarokkal","igen","nem tudom","igen","Mocskos a szád.","lány","magyar","magyar","Nagykövesd","gimnázium","1.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:21:15 du. CET","nem tudom megítélni","hasonlít","inkább nem elfogadható","nem","nem tudom megítélni","hasonlít","nem tudom megítélni","nem tudom megítélni","nem tudom megítélni","semleges","baráti beszélgetésben;iskolában a szünetben;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","nem tudom","igen","illetlen beszéd","lány","magyar","magyar","Lelesz","gimnázium","1.","magyar nyelven","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:22:53 du. CET","nem tudom megítélni","hasonlít","inkább nem elfogadható","igen","inkább nem elfogadható","nem","inkább elfogadható","egyáltalán nem elfogadható","inkább elfogadható","semleges","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;iskolában az órákon;magyarországi magyarokkal;szlovákiai magyarokkal;levélben vagy fogalmazás írása közben;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben","szerintem elég jól","igen","nem","ídesanyám, ottan - csúnya beszéd","lány","magyar","magyar","Bodrogszerdahely","gimnázium","1.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
"2022/06/25 4:24:20 du. CET","nem tudom megítélni","hasonlít","inkább elfogadható","hasonlít","nem tudom megítélni","nem tudom","inkább elfogadható","inkább nem elfogadható","inkább elfogadható","szeretem ezt használni","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","szerintem elég jól","előny","családi beszélgetésben;baráti beszélgetésben;iskolában a szünetben;magyarországi magyarokkal;szlovákiai magyarokkal;e-mailben, SMS-ben, chaten","talán egy kicsit","igen","nem","","fiú","magyar","magyar","Bély","gimnázium","3.","magyar és szlovák nyelven is","Gymnázium-Gimnázium Kráľovský Chlmec","Kelet-Szlovákia","Kelet-Szlovákia"
